RowStart,RowEnd,Range,Edge?
41,45,1,y
45,49,1,y
49,53,1,n
53,57,1,n
57,61,1,n
61,65,1,n
65,69,1,n
69,73,1,n
73,77,1,n
77,81,1,y
81,85,1,y
85,89,1,y
89,93,1,y
33,37,2,y
37,41,2,y
41,45,2,n
45,49,2,n
49,53,2,n
53,57,2,n
57,61,2,n
61,65,2,n
65,69,2,n
69,73,2,n
73,77,2,n
77,81,2,y
81,85,2,y
85,89,2,y
89,93,2,y
33,37,3,y
37,41,3,y
41,45,3,n
45,49,3,n
49,53,3,n
53,57,3,n
57,61,3,n
61,65,3,n
65,69,3,n
69,73,3,n
73,77,3,n
77,81,3,y
81,85,3,y
33,37,4,y
37,41,4,y
41,45,4,n
45,49,4,n
49,53,4,n
53,57,4,n
57,61,4,n
61,65,4,n
65,69,4,n
69,73,4,y
73,77,4,y
77,81,4,y
33,37,5,y
37,41,5,y
41,45,5,n
45,49,5,n
49,53,5,n
53,57,5,n
57,61,5,n
61,65,5,n
65,69,5,y
69,73,5,y
73,77,5,y
77,81,5,y
33,37,6,y
37,41,6,n
41,45,6,n
45,49,6,n
49,53,6,n
53,57,6,n
57,61,6,n
61,65,6,y
65,69,6,y
69,73,6,y
73,77,6,y
77,81,6,y
33,37,7,y
37,41,7,n
41,45,7,n
45,49,7,n
49,53,7,n
53,57,7,n
57,61,7,n
61,65,7,n
65,69,7,y
69,73,7,y
73,77,7,y
41,45,8,y
45,49,8,y
49,53,8,y
53,57,8,y
57,61,8,y
61,65,8,y
45,49,9,y
49,53,9,y
53,57,9,y
