year,site_id,plot_id,range,first_row,row_set,genotype_name,block_id,set_id
2019,EF,19EF0001,2,1,1_4,PI148089,1,CHK-F
2019,EF,19EF0002,2,5,5_8,PI276773,1,Q3
2019,EF,19EF0003,2,9,9_12,NSL50614,1,Q3
2019,EF,19EF0004,2,13,13_16,PI152736B,1,Q3
2019,EF,19EF0005,2,17,17_20,NSL50499,1,Q3
2019,EF,19EF0006,2,21,21_24,PI453219,1,Q3
2019,EF,19EF0007,2,25,25_28,PI665117,1,Q3
2019,EF,19EF0008,2,29,29_32,PI452844,1,Q3
2019,EF,19EF0009,2,33,33_36,NSL54318,1,Q3
2019,EF,19EF0010,2,37,37_40,PI665139,1,Q3
2019,EF,19EF0011,2,41,41_44,NSL51961,5,CHK-B
2019,EF,19EF0012,2,45,45_48,PI525876,5,Q3
2019,EF,19EF0013,2,49,49_52,NSL51969,5,Q3
2019,EF,19EF0014,2,53,53_56,PI329570,5,Q3
2019,EF,19EF0015,2,57,57_60,PI152748,5,Q3
2019,EF,19EF0016,2,61,61_64,PI665072,5,Q3
2019,EF,19EF0017,2,65,65_68,PI453237,5,Q3
2019,EF,19EF0018,2,69,69_72,PI665069,5,Q3
2019,EF,19EF0019,2,73,73_76,PI330070,5,Q3
2019,EF,19EF0020,2,77,77_80,NSL51963,5,Q3
2019,EF,19EF0021,2,81,81_84,Pacesetter,9,CHK-E
2019,EF,19EF0022,2,85,85_88,NSL55523,9,Q1
2019,EF,19EF0023,2,89,89_92,PI563330,9,Q1
2019,EF,19EF0024,2,93,93_96,PI525842,9,Q1
2019,EF,19EF0025,2,97,97_100,PI329510,9,Q1
2019,EF,19EF0026,2,101,101_104,PI453157,9,Q1
2019,EF,19EF0027,2,105,105_108,PI276784,9,Q1
2019,EF,19EF0028,2,109,109_112,PI329727,9,Q1
2019,EF,19EF0029,2,113,113_116,NSL55345B,9,Q1
2019,EF,19EF0030,2,117,117_120,NSL55032,9,Q1
2019,EF,19EF0031,2,121,121_124,PI276801,13,CHK-A
2019,EF,19EF0032,2,125,125_128,PI383856,13,Q1
2019,EF,19EF0033,2,129,129_132,PI148086,13,Q1
2019,EF,19EF0034,2,133,133_136,PI329465,13,Q1
2019,EF,19EF0035,2,137,137_140,PI276790,13,Q1
2019,EF,19EF0036,2,141,141_144,PI453346,13,Q1
2019,EF,19EF0037,2,145,145_148,PI452611,13,Q1
2019,EF,19EF0038,2,149,149_152,PI520872,13,Q1
2019,EF,19EF0039,2,153,153_156,PI452578,13,Q1
2019,EF,19EF0040,2,157,157_160,PI452658,13,Q1
2019,EF,19EF0041,3,157,157_160,NSL55669,13,Q1
2019,EF,19EF0042,3,153,153_156,PI452584,13,Q1
2019,EF,19EF0043,3,149,149_152,PI453522,13,Q1
2019,EF,19EF0044,3,145,145_148,Pacesetter,13,CHK-E
2019,EF,19EF0045,3,141,141_144,PI155329,13,Q1
2019,EF,19EF0046,3,137,137_140,PI453339,13,Q1
2019,EF,19EF0047,3,133,133_136,PI330098,13,Q1
2019,EF,19EF0048,3,129,129_132,PI453326,13,Q1
2019,EF,19EF0049,3,125,125_128,PI521150,13,Q1
2019,EF,19EF0050,3,121,121_124,PI455852,13,Q1
2019,EF,19EF0051,3,117,117_120,PI276781,9,Q1
2019,EF,19EF0052,3,113,113_116,PI454927,9,Q1
2019,EF,19EF0053,3,109,109_112,PI155138,9,Q1
2019,EF,19EF0054,3,105,105_108,PI514431,9,CHK-D
2019,EF,19EF0055,3,101,101_104,PI329392,9,Q1
2019,EF,19EF0056,3,97,97_100,PI453056,9,Q1
2019,EF,19EF0057,3,93,93_96,PI521018,9,Q1
2019,EF,19EF0058,3,89,89_92,PI457092,9,Q1
2019,EF,19EF0059,3,85,85_88,PI148084,9,Q1
2019,EF,19EF0060,3,81,81_84,PI452669,9,Q1
2019,EF,19EF0061,3,77,77_80,PI452947,5,Q3
2019,EF,19EF0062,3,73,73_76,PI291081,5,Q3
2019,EF,19EF0063,3,69,69_72,PI297128,5,Q3
2019,EF,19EF0064,3,65,65_68,PI276801,5,CHK-A
2019,EF,19EF0065,3,61,61_64,PI651167,5,Q3
2019,EF,19EF0066,3,57,57_60,PI568755,5,Q3
2019,EF,19EF0067,3,53,53_56,PI506013,5,Q3
2019,EF,19EF0068,3,49,49_52,PI526032,5,Q3
2019,EF,19EF0069,3,45,45_48,PI276844,5,Q3
2019,EF,19EF0070,3,41,41_44,PI329845,5,Q3
2019,EF,19EF0071,3,37,37_40,PI651102,1,Q3
2019,EF,19EF0072,3,33,33_36,PI526147,1,Q3
2019,EF,19EF0073,3,29,29_32,PI570110,1,Q3
2019,EF,19EF0075,3,21,21_24,PI330877,1,Q3
2019,EF,19EF0076,3,17,17_20,PI506073,1,Q3
2019,EF,19EF0077,3,13,13_16,PI665115,1,Q3
2019,EF,19EF0078,3,9,9_12,PI521094,1,Q3
2019,EF,19EF0079,3,5,5_8,PI525897,1,Q3
2019,EF,19EF0080,3,1,1_4,PI665098,1,Q3
2019,EF,19EF0081,4,1,1_4,NSL50634,1,Q3
2019,EF,19EF0082,4,5,5_8,PI570712,1,Q3
