date,range,first_row,row_density,comment
7/12/2019,2,1,16.5,
7/12/2019,3,1,20.5,
7/12/2019,4,1,16,
7/12/2019,5,1,15.5,
7/12/2019,6,1,27.5,
7/12/2019,7,1,17,
7/12/2019,8,1,20,
7/12/2019,9,1,25.5,
7/12/2019,10,1,19.5,
7/12/2019,11,1,14.5,
7/12/2019,12,1,13,
7/12/2019,13,1,20.5,
7/12/2019,14,1,21,
7/12/2019,15,1,21.5,
7/12/2019,16,1,21.5,
7/12/2019,17,1,18.5,
7/12/2019,18,1,8.5,
7/12/2019,19,1,9,
7/12/2019,20,1,21,
7/12/2019,21,1,16.5,
7/12/2019,22,1,18,
7/12/2019,23,1,20,
7/12/2019,24,1,21.5,
7/12/2019,25,1,10.5,
7/12/2019,25,5,13.5,
7/12/2019,24,5,11.5,
7/12/2019,23,5,10,
7/12/2019,22,5,11.5,
7/12/2019,21,5,9.5,
7/12/2019,20,5,7.5,
7/12/2019,19,5,14.5,
7/12/2019,18,5,13.5,
7/12/2019,17,5,19.5,
7/12/2019,16,5,17.5,
7/12/2019,15,5,15.5,
7/12/2019,14,5,16.5,
7/12/2019,13,5,15,
7/12/2019,12,5,17,
7/12/2019,11,5,17.5,
7/12/2019,10,5,20,
7/12/2019,9,5,19.5,
7/12/2019,8,5,17,
7/12/2019,7,5,10,
7/12/2019,6,5,15.5,
7/12/2019,5,5,18,
7/12/2019,4,5,12,
7/12/2019,3,5,13,
7/12/2019,2,5,21,
7/12/2019,2,9,14,
7/12/2019,3,9,18.5,
7/12/2019,4,9,10.5,
7/12/2019,5,9,10.5,
7/12/2019,6,9,16.5,
7/12/2019,7,9,14,
7/12/2019,8,9,18,
7/12/2019,9,9,19.5,
7/12/2019,10,9,16.5,
7/12/2019,11,9,14.5,
7/12/2019,12,9,11.5,
7/12/2019,13,9,17.5,
7/12/2019,14,9,13.5,
7/12/2019,15,9,24,
7/12/2019,16,9,20,
7/12/2019,17,9,17,
7/12/2019,18,9,15,
7/12/2019,19,9,7,
7/12/2019,20,9,8,
7/12/2019,21,9,15.5,
7/12/2019,22,9,14,
7/12/2019,23,9,9.5,
7/12/2019,24,9,15,
7/12/2019,25,9,14.5,
7/12/2019,25,13,16.5,
7/12/2019,24,13,16.5,
7/12/2019,23,13,14,
7/12/2019,22,13,14.5,
7/12/2019,21,13,16,
7/12/2019,20,13,13.5,
7/12/2019,19,13,10,
7/12/2019,18,13,10.5,
7/12/2019,17,13,18,
7/12/2019,16,13,13.5,
7/12/2019,15,13,9.5,
7/12/2019,14,13,13.5,
7/12/2019,13,13,16,
7/12/2019,12,13,19.5,
7/12/2019,11,13,13,
7/12/2019,10,13,16,
7/12/2019,9,13,15.5,
7/12/2019,8,13,14,
7/12/2019,7,13,16,
7/12/2019,6,13,19,
7/12/2019,5,13,19.5,
7/12/2019,4,13,21.5,
7/12/2019,3,13,21,
7/12/2019,2,13,14.5,
7/12/2019,2,17,17.5,
7/12/2019,3,17,15.5,
7/12/2019,4,17,7,
7/12/2019,5,17,16.5,
7/12/2019,6,17,11,
7/12/2019,7,17,19.5,
7/12/2019,8,17,16.5,
7/12/2019,9,17,13.5,
7/12/2019,10,17,17.5,
7/12/2019,11,17,16.5,
7/12/2019,12,17,16,
7/12/2019,13,17,13.5,
7/12/2019,14,17,15,
7/12/2019,15,17,17,
7/12/2019,16,17,17,
7/12/2019,17,17,21.5,
7/12/2019,18,17,12.5,
7/12/2019,19,17,9.5,
7/12/2019,20,17,9,
7/12/2019,21,17,12.5,
7/12/2019,22,17,17,
7/12/2019,23,17,16,
7/12/2019,24,17,16,
7/12/2019,25,17,19.5,
7/12/2019,25,21,9.5,
7/12/2019,24,21,17.5,
7/12/2019,23,21,12.5,
7/12/2019,22,21,11,
7/12/2019,21,21,12,
7/12/2019,20,21,11,
7/12/2019,19,21,6.5,
7/12/2019,18,21,9.5,
7/12/2019,17,21,12.5,
7/12/2019,16,21,15.5,
7/12/2019,15,21,15.5,
7/12/2019,14,21,16,
7/12/2019,13,21,10.5,
7/12/2019,12,21,14,
7/12/2019,11,21,16,
7/12/2019,10,21,14,
7/12/2019,9,21,15.5,
7/12/2019,8,21,9.5,
7/12/2019,7,21,24,
7/12/2019,6,21,17,
7/12/2019,5,21,10,
7/12/2019,4,21,18.5,
7/12/2019,3,21,11.5,
7/12/2019,2,21,24,
7/12/2019,2,25,16.5,
7/12/2019,3,25,14.5,
7/12/2019,4,25,11,
7/12/2019,5,25,8,
7/12/2019,6,25,14,
7/12/2019,7,25,13.5,
7/12/2019,8,25,9.5,
7/12/2019,9,25,16,
7/12/2019,10,25,15.5,
7/12/2019,11,25,12.5,
7/12/2019,12,25,19,
7/12/2019,13,25,14,
7/12/2019,14,25,16.5,
7/12/2019,15,25,14,
7/12/2019,16,25,18,
7/12/2019,17,25,12.5,
7/12/2019,18,25,11,
7/12/2019,19,25,7,
7/12/2019,20,25,14,
7/12/2019,21,25,16,
7/12/2019,22,25,11.5,
7/12/2019,23,25,11,
7/12/2019,24,25,7.5,
7/12/2019,25,25,8.5,
7/12/2019,25,29,9,
7/12/2019,24,29,11.5,
7/12/2019,23,29,12.5,
7/12/2019,22,29,17,
7/12/2019,21,29,11.5,
7/12/2019,20,29,18,
7/12/2019,19,29,9.5,
7/12/2019,18,29,9.5,
7/12/2019,17,29,9.5,
7/12/2019,16,29,12.5,
7/12/2019,15,29,13.5,
7/12/2019,14,29,11.5,
7/12/2019,13,29,10,
7/12/2019,12,29,11.5,
7/12/2019,11,29,10.5,
7/12/2019,10,29,12,
7/12/2019,9,29,11,
7/12/2019,8,29,17.5,
7/12/2019,7,29,4.5,
7/12/2019,6,29,12,
7/12/2019,5,29,13.5,
7/12/2019,4,29,13.5,
7/12/2019,3,29,15,
7/12/2019,2,29,10.5,
7/12/2019,2,33,12.5,
7/12/2019,3,33,9.5,
7/12/2019,4,33,8.5,
7/12/2019,5,33,14.5,
7/12/2019,6,33,12,
7/12/2019,7,33,16.5,
7/12/2019,8,33,14,
7/12/2019,9,33,10.5,
7/12/2019,10,33,13.5,
7/12/2019,11,33,17,
7/12/2019,12,33,23.5,
7/12/2019,13,33,11.5,
7/12/2019,14,33,16.5,
7/12/2019,15,33,12.5,
7/12/2019,16,33,7,
7/12/2019,17,33,12.5,
7/12/2019,18,33,11.5,
7/12/2019,19,33,10,
7/12/2019,20,33,16.5,
7/12/2019,21,33,11.5,
7/12/2019,22,33,20,
7/12/2019,23,33,16,
7/12/2019,24,33,12.5,
7/12/2019,25,33,11,
7/12/2019,25,37,9.5,
7/12/2019,24,37,7.5,
7/12/2019,23,37,9,
7/12/2019,22,37,9,
7/12/2019,21,37,8,
7/12/2019,20,37,1,
7/12/2019,19,37,6,
7/12/2019,18,37,13,
7/12/2019,17,37,14,
